dietscore_quintiles							
health_stat	first_quint	2nd	3rd	4th	fif_quint		Total
							
excellent	1102	1522	1524	1865	1812		8966
very_good	3742	5039	4435	5098	4908		26539
good	7857	10126	8811	10104	8878		53142
mediocre	1753	1939	1709	1851	1701		10767
poor	122	113	98	89	103		674
							
							
Total	14597	18778	16602	19036	17435		100285
;							
vege_family							
health_stat	no	yes	Total				
							
excellent	8134	832	8966				
very_good	24213	2326	26539				
good	48947	4195	53142				
mediocre	10024	743	10767				
poor	630	44	674				
							
							
Total	92133	8152	100285				
							
;							
vege_history							
health_stat	no	yes		Total			
							
excellent	7860	447		8307			
very_good	23389	1152		24541			
good	46148	2052		48200			
mediocre	8877	430		9307			
poor	502	40		542			
							
							
Total	86919	4121		100285			
							
;							
vegetarian							
health_stat	No	Yes	Total				
excellent	8432	535	8966				
very_good	25181	1359	26539				
good	50745	2398	53142				
mediocre	10212	556	10767				
poor	630	46	674				
							
							
Total	95391	4894	100285				
							
;							
province							
health_stat	Drenthe	Friesland	Groningen	Other	Total		
							
excellent	2339	3460	2906	262	8966		
very_good	6935	10826	8011	768	26539		
good	14506	20912	16558	1166	53142		
mediocre	3112	3980	3426	249	10767		
poor	191	236	232	15	674		
							
							
Total	27137	39498	31190	2460	100285		
							
							
;							
urbanity							
health_stat	very_urban	2nd	3rd	4th	very_rural	Total	
							
excellent	891	920	1558	2001	3596	8966	
very_good	2113	2938	4614	6099	10775	26539	
good	3302	5821	9652	12068	22299	53142	
mediocre	736	1378	2058	2352	4243	10767	
poor	62	101	142	147	222	674	
							
							
Total	7116	11183	18058	22707	41221	100285	
							
;							
pct_socialhousing							
health_stat	low_sshousing	high_sshousing		Total			
							
excellent	6968	1916		8884			
very_good	20529	5749		26278			
good	39595	13031		52626			
mediocre	7443	3255		10698			
poor	410	264		674			
							
							
Total	75083	24272		100285			
