actions;baseline;age_cat_40-49;age_cat_19-29;age_cat_30-39;age_cat_50-59;age_cat_60-69;age_cat_70+;gender_female;gender_male;education_middle;education_low;education_high;unemployed_no;unemployed_yes;child_presence_no;child_presence_yes;income_under_median;income_over_median;income_unknown;ethnicity_white_eu;ethnicity_non_white;asoc_membership_no;asoc_membership_yes;health_stat_good;health_stat_excellent;health_stat_very_good;health_stat_mediocre;health_stat_poor;dietscore_quintiles_3rd;dietscore_quintiles_first_quint;dietscore_quintiles_2nd;dietscore_quintiles_4th;dietscore_quintiles_fif_quint;vege_family_no;vege_family_yes;vege_history_no;vege_history_yes;province_drenthe;province_friesland;province_groningen;province_other;urbanity_3rd;urbanity_very_urban;urbanity_2nd;urbanity_4th;urbanity_very_rural;pct_socialhousing_low_sshousing;pct_socialhousing_high_sshousing;vegetarian_no;vegetarian_yes
Veg_prob;-3.618;0;-0.109;-0.092;0.128;0.065;-0.212;0;-0.573;0;-0.229;0.430;0;0.232;0;-0.415;0;-0.124;-0.200;0;0.218;0;-0.249;0;0.173;0.066;0.110;0.065;0;-0.736;-0.319;0.255;0.576;0;0.523;0;3.987;0;-0.051;-0.051;0.042;0;0.580;0.196;-0.064;-0.049;-0.096;-0.130;0;0
concerns_animal_welfare;0;0;0.03;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
concerns_convinience;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
concerns_environement;0;0.02;0.01;0.03;0.02;0.01;;;;0.01;;0.02;0.01;0;0;0.01;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
concerns_familiarity;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.02;-0.01;0.01;0.02;-0.01;0.01;-0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0
concerns_health;0;0.1;;0.1;0.2;0.3;0.4;0.2;0.1;0.01;0;0.02;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0.01;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
concerns_hunger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
concerns_price;0;0;-0.01;;;;-0.02;0;0;0;0;0;0;-0.03;-0.01;0;-0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
homo_om_inf;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
homo_veg_inf;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
