actions;baseline;age_group__1;age_group__2;age_group__3;age_group__4;gender_f;gender_m;education_low;education_medium;education_high;ses_high;ses_low;selfrated_health_average;selfrated_health_good;selfrated_health_poor;vegetarian_no;vegetarian_yes;ethnicity_dutch;ethnicity_eu;ethnicity_others
Veg_prob;-0.26;;0.1;-0.1;0.2;0.25;0;-0.25;0;0.3;0.0;0.2;-0.25;0;0.1;-0.55;0.55;0.28;0.15;0
concerns_convinience;;-0.3;-0.234;-0.1;-0.6;-0.2;-0.65;-0.46;-0.2;-0.123;;-0.378;;;;-0.7;0.1;;-0.6;-0.7
concerns_familiarity;;-0.12;;-0.53;-0.74;-0.2;-0.52;-0.635;-0.24;;-0.15;-0.25;-0.1;;-0.4;-0.8;;0.15;;0.05
concerns_taste;;-0.58;-0.6;-0.57;;-0.6;-0.7;-0.7;-0.3;-0.2;-0.1;-0.6;-0.4;-0.6;;-0.7;-0.1;;;-0.1
concerns_price;;-0.35;-0.11;-0.05;-0.4;;;-0.5;-0.1;;;-0.6;;;;;;;;
concerns_animal_welfare;;0.85;0.6;0.56;;0.76;0.84;0;0.3;0.15;0;0;0;0;0;0;0;0.1;0;0.035
concerns_environement;;0.51;0.4;0.8;0.2;0.15;0.12;0.1;0.1;0.35;0.25;0;0.28;0.6;0;0.12;0.3;0.12;0;0.035
concerns_health;;0.12;0.34;0.68;0.79;0.8;0.41;;0.2;0.32;0.36;0.1;0.18;0.1;0.5;;0.3;0;0;0.037
concerns_hunger;;0;0.3;0.6;0.5;0.1;;;;;;;;;;;;;;0.03
homo_veg_inf;0.8;0.68;0.18;0.38;0.68;0.79;0.51;0.5;0.6;0.7;0.65;0.2;0.35;0.55;0.82;;0.98;0.543;0.6;0.56
homo_om_inf;-0.12;-0.68;-0.18;-0.38;-0.43;-0.6;-0.84;-0.9;-0.7;-0.3;-0.6;-0.3;-0.5;-0.85;-0.45;-0.98;0;-0.534;-0.7;-0.78
